Case Description,Category,cleaned_text
"Someone harassed me on the bus, and I want to report it.",General,someon harass bus want report
The case involves fraud and the use of false documents in a commercial agreement.,Commercial,case involv fraud use fals document commerci agreement
"Someone posted false statements about me online, and I’m taking legal action.",General,someon post fals statement onlin i'm take legal action
What can I do if my company breached my employment contract?,Commercial,compani breach employ contract
The court handled a complaint involving a breach of patient rights and privacy.,General,court handl complaint involv breach patient right privaci
The case involves guardianship of a child whose parents can’t care for them.,Personal Status,case involv guardianship child whose parent can't care
Authorities investigated a video showing violence in a public place.,General,author investig video show violenc public place
I’m seeking advice on how to report online defamation.,General,i'm seek advic report onlin defam
Fraud case — unauthorized loan created with stolen information.,General,fraud case — unauthor loan creat stolen inform
The appointed liquidator submitted a final report on the company’s liquidation.,Commercial,appoint liquid submit final report compani liquid
The supplier was accused of committing commercial fraud through fake contracts.,Commercial,supplier accus commit commerci fraud fake contract
The case involves unpaid child support and financial neglect.,Personal Status,case involv unpaid child support financi neglect
The individual accused the specialist of malpractice that led to serious consequences.,General,individu accus specialist malpractic led serious consequ
A client is suing the e-commerce company for selling a faulty product.,Commercial,client su ecommerc compani sell faulti product
The bankruptcy case focused on asset liquidation and debt repayment.,Commercial,bankruptci case focus asset liquid debt repay
What should I do to file an accident compensation claim?,General,file accid compens claim
The court reviewed a complaint regarding violations affecting public safety.,General,court review complaint regard violat affect public safeti
My husband insists on staying married despite our ongoing troubles,Personal Status,husband insist stay marri despit ongo troubl
Reputation damage occurred after someone shared private information without consent.,General,reput damag occur someon share privat inform without consent
The court handled a commercial dispute involving misuse of corporate funds.,Commercial,court handl commerci disput involv misus corpor fund
The user submitted a formal service complaint regarding system failure.,Commercial,user submit formal servic complaint regard system failur
The case concerns recognizing the child born outside of marriage.,Personal Status,case concern recogn child born outsid marriag
The woman sought annulment on the grounds of deception.,Personal Status,woman sought annul ground decept
I’m planning to adopt and would like advice on the process.,Personal Status,i'm plan adopt would like advic process
The court reviewed evidence related to a hospital error during surgery.,General,court review evid relat hospit error surgeri
Company breach of warranty.,Commercial,compani breach warranti
My personal details were stolen and used without my permission.,General,person detail stolen use without permiss
Can I file a case for defamation if someone spreads false info about me online?,General,file case defam someon spread fals info onlin
She filed for custody transfer claiming better living conditions for the child.,Personal Status,file custodi transfer claim better live condit child
The private clinic faced legal action for malpractice performed by its staff.,Commercial,privat clinic face legal action malpractic perform staff
The client refused to pay after I delivered the completed software.,Commercial,client refus pay deliv complet softwar
The firm reported a rental issue after the landlord breached the commercial lease terms.,Commercial,firm report rental issu landlord breach commerci leas term
A human rights complaint was submitted regarding unfair treatment by officials.,General,human right complaint submit regard unfair treatment offici
I’m reporting that my ex-partner kidnapped our child after losing custody.,Personal Status,i'm report expartn kidnap child lose custodi
I want to take legal action against my tenant for nonpayment of rent.,Commercial,want take legal action tenant nonpay rent
I want to know the right process for writing a will that protects my assets.,Personal Status,want know right process write protect asset
I was targeted by online abuse and want to report it.,General,target onlin abus want report
I’m seeking legal advice about drafting and registering my will.,Personal Status,i'm seek legal advic draft regist
I noticed a fraudulent transaction in my bank account.,General,notic fraudul transact bank account
Authorities reported a serious driving offense for running a red light.,General,author report serious drive offens run red light
I’m seeking legal advice about reporting a cyber fraud case involving my data.,General,i'm seek legal advic report cyber fraud case involv data
The court handled a commercial case involving a data breach affecting financial details.,Commercial,court handl commerci case involv data breach affect financi detail
The ministry granted foster parent status after background checks.,Personal Status,ministri grant foster parent status background check
I want to know how to resolve divorce issues peacefully through mediation.,Personal Status,want know resolv divorc issu peac mediat
The contractor didn’t complete the renovation work as agreed.,Commercial,contractor didn't complet renov work agre
I’m looking for a lawyer to help me draft my will properly.,Personal Status,i'm look lawyer help draft proper
Partnership dispute — one partner claims the other kept most of the earnings.,Commercial,partnership disput — one partner claim kept earn
My spouse refuses to pay alimony even after the court order.,Personal Status,spous refus pay alimoni even court order
The husband demanded custody transfer due to neglect by the mother.,Personal Status,husband demand custodi transfer due neglect mother
The judge prioritized resolving welfare concerns before deciding custody.,Personal Status,judg priorit resolv welfar concern decid custodi
The accused denied involvement in any act of commercial fraud.,Commercial,accus deni involv act commerci fraud
A custody conflict between the parents following their divorce,Personal Status,custodi conflict parent follow divorc
A medical negligence claim was submitted after the doctor failed to diagnose the condition.,General,medic neglig claim submit doctor fail diagnos condit
The case involved misuse of funds belonging to an incapacitated individual.,Personal Status,case involv misus fund belong incapacit individu
The shareholders demanded enforcement of their investor rights.,Commercial,sharehold demand enforc investor right
The case involves identity theft and unauthorized financial activity.,General,case involv ident theft unauthor financi activ
The customer filed a case after discovering a serious product defect.,Commercial,custom file case discov serious product defect
The case involves unlawful building on government property.,General,case involv unlaw build govern properti
Breach of employment terms by company — need legal guidance.,Commercial,breach employ term compani — need legal guidanc
A data protection complaint was filed against a business that leaked client records.,Commercial,data protect complaint file busi leak client record
Ending the marriage,Personal Status,end marriag
The financial agreement outlined payment schedules and profit-sharing terms.,Commercial,financi agreement outlin payment schedul profitshar term
The case is about a landlord who didn’t return the tenant’s deposit after moving out.,Commercial,case landlord didn't return tenant deposit move
I’ve been in a custody dispute with my ex since the divorce,Personal Status,i'v custodi disput ex sinc divorc
I want to know how to protect myself from an unlawful eviction.,General,want know protect unlaw evict
The company was fined for failing to comply with data protection regulations.,Commercial,compani fine fail compli data protect regul
Disagreement about child custody once the marriage ended,Personal Status,disagr child custodi marriag end
"My personal information was stolen online, and I need legal support.",General,person inform stolen onlin need legal support
I’m filing a claim because the company didn’t respect my job terms.,Commercial,i'm file claim compani didn't respect job term
The case involves online defamation and public humiliation.,General,case involv onlin defam public humili
The husband and wife agreed on the termination of their marriage.,Personal Status,husband wife agre termin marriag
I want to report an online store for refusing to refund after a wrong delivery.,Commercial,want report onlin store refus refund wrong deliveri
The firm was accused of personal data misuse for sharing client details without consent.,Commercial,firm accus person data misus share client detail without consent
A company was fined for selling goods under an imitated brand.,Commercial,compani fine sell good imit brand
I need to know how to take action against harassment at my workplace.,General,need know take action harass workplac
The court handled a case involving the return of the dowry amount.,Personal Status,court handl case involv return dowri amount
My data was leaked and used for unauthorized transactions.,General,data leak use unauthor transact
I want to know how to make my ex comply with the payment order.,Personal Status,want know make ex compli payment order
I’m seeking help to make my spouse comply with alimony payments.,Personal Status,i'm seek help make spous compli alimoni payment
I’m planning to sue a user for defaming me through social media posts.,General,i'm plan sue user defam social media post
I want to claim financial support for my children from their father,Personal Status,want claim financi support children father
"My visa process has problems, and I want to know my options.",General,visa process problem want know option
A joint request for divorce by mutual consent was submitted.,Personal Status,joint request divorc mutual consent submit
The court reviewed medical reports related to the physical attack.,General,court review medic report relat physic attack
A dispute arose regarding the theft of confidential business files.,Commercial,disput aros regard theft confidenti busi file
My client failed to pay and breached the software service agreement.,Commercial,client fail pay breach softwar servic agreement
Can I press charges if my bike was stolen from the neighborhood?,General,press charg bike stolen neighborhood
"I’m fighting to keep my kids, but my ex keeps taking me to court",Personal Status,i'm fight keep kid ex keep take court
Can I take legal action if my neighbor builds a wall on my property?,General,take legal action neighbor build wall properti
"Someone spread false information about me online, and I want to take legal action.",General,someon spread fals inform onlin want take legal action
I want to know my rights after a car accident where the other driver refuses to pay.,General,want know right car accid driver refus pay
Unlawful rent hike — landlord increased rent beyond the contract terms.,Commercial,unlaw rent hike — landlord increas rent beyond contract term
The case involves an unlawful eviction threat from the property owner.,General,case involv unlaw evict threat properti owner
The mother argued that staying with her serves the child’s best interest.,Personal Status,mother argu stay serv child best interest
She reported an online threat sent through social media messages.,General,report onlin threat sent social media messag
A property dispute arose among siblings over the land left by their parents.,Personal Status,properti disput aros among sibl land left parent
"My bike got stolen, and I’m not sure what legal steps to take.",General,bike got stolen i'm sure legal step take
The victim demanded compensation for harm suffered due to medical negligence.,General,victim demand compens harm suffer due medic neglig
The case is about theft of personal property from a residential area.,General,case theft person properti residenti area
I need guidance on how to continue the adoption after a rejection.,Personal Status,need guidanc continu adopt reject
I need legal help to make my landlord handle the required maintenance.,Commercial,need legal help make landlord handl requir mainten
The court handled an insolvency case involving multiple creditors.,Commercial,court handl insolv case involv multipl creditor
"The apartment has leaks and damage, and the owner won’t respond.",Commercial,apart leak damag owner won't respond
A dispute arose between the seller and buyer on an online marketplace.,Commercial,disput aros seller buyer onlin marketplac
The organization was accused of negligence in orphan care management.,Personal Status,organ accus neglig orphan care manag
The case involves unfair practices that violated the investor’s legal rights.,Commercial,case involv unfair practic violat investor legal right
Authorities investigated a case involving personal data misuse by an unknown individual.,General,author investig case involv person data misus unknown individu
I’m seeking legal advice about filing a copyright infringement claim.,General,i'm seek legal advic file copyright infring claim
I want to know how to submit an official accident compensation request.,General,want know submit offici accid compens request
A commercial case was opened regarding cyber privacy violations in a corporate database.,Commercial,commerci case open regard cyber privaci violat corpor databas
The parties reached a settlement and renewed their financial agreement.,Commercial,parti reach settlement renew financi agreement
A lawsuit was filed for violating the registered patent of a competitor.,Commercial,lawsuit file violat regist patent competitor
The customer filed a complaint after the repair shop refused to fix the car under warranty.,Commercial,custom file complaint repair shop refus fix car warranti
The dispute involves a wall constructed over someone else’s property line.,General,disput involv wall construct someon els properti line
The court investigated claims of fake contracts between the partners.,Commercial,court investig claim fake contract partner
Data breach by employee — looking for legal options.,Commercial,data breach employe — look legal option
A conflict emerged over the valuation and division of assets.,Personal Status,conflict emerg valuat divis asset
The beneficiaries disagreed on how the family endowment should be managed.,Personal Status,beneficiari disagre famili endow manag
The court handled a commercial dispute involving a hospital error in a private facility.,Commercial,court handl commerci disput involv hospit error privat facil
I want to report my landlord for illegal behavior toward tenants.,Commercial,want report landlord illeg behavior toward tenant
"My husband still doesn’t want a divorce, no matter how bad things get",Personal Status,husband still doesn't want divorc matter bad thing get
The wife applied for legal dissolution of the marriage.,Personal Status,wife appli legal dissolut marriag
She filed a case to terminate the marital relationship.,Personal Status,file case termin marit relationship
The company launched an investigation into violence between two employees.,Commercial,compani launch investig violenc two employe
He reported an assault after being attacked by an unknown person.,General,report assault attack unknown person
The court handled a case involving serious traffic violations.,General,court handl case involv serious traffic violat
I need legal help because my neighbor destroyed my property’s trees.,General,need legal help neighbor destroy properti tree
The factory faced legal action for causing pollution near residential areas.,Commercial,factori face legal action caus pollut near residenti area
A case was opened due to cyber privacy violations on a public platform.,General,case open due cyber privaci violat public platform
I need legal advice about unauthorized withdrawals from my bank.,General,need legal advic unauthor withdraw bank
I’m living in poor conditions because the landlord won’t repair the damage.,Commercial,i'm live poor condit landlord won't repair damag
Wrongful termination case — employee fired without legal cause.,Commercial,wrong termin case — employe fire without legal caus
Employee wrongfully terminated.,Commercial,employe wrong termin
The court reviewed a complaint related to customer dissatisfaction and false advertising.,Commercial,court review complaint relat custom dissatisfact fals advertis
My siblings and I can’t agree on how to split our parents’ property.,Personal Status,sibl can't agre split parent properti
My husband refuses to separate even though we argue all the time,Personal Status,husband refus separ even though argu time
The court appointed a trustee to oversee the company’s bankruptcy case.,Commercial,court appoint truste overse compani bankruptci case
Cybercrime report needed.,General,cybercrim report need
He accused the suspect of violating his basic human rights.,General,accus suspect violat basic human right
A tech platform was investigated for personal data misuse that affected thousands of users.,Commercial,tech platform investig person data misus affect thousand user
"I’m having constant noise problems with my neighbor, and it’s getting worse.",General,i'm constant nois problem neighbor it get wors
I’m filing a complaint because my ex-partner stopped paying alimony.,Personal Status,i'm file complaint expartn stop pay alimoni
The company managing the clinic was criticized for repeated hospital errors.,Commercial,compani manag clinic critic repeat hospit error
The court decision focused on regulating parental access.,Personal Status,court decis focus regul parent access
The court evaluated which parent could better meet the child’s needs.,Personal Status,court evalu parent could better meet child need
She filed a complaint after receiving threats and violence online.,General,file complaint receiv threat violenc onlin
I’m asking the court to investigate hidden assets my spouse kept during the divorce.,Personal Status,i'm ask court investig hidden asset spous kept divorc
"My neighbor started building right on the boundary, and I believe it’s illegal.",General,neighbor start build right boundari believ it illeg
The court reviewed a case involving a health risk caused by a private business.,Commercial,court review case involv health risk caus privat busi
There’s a business conflict about how much profit each partner should receive.,Commercial,there busi conflict much profit partner receiv
The company entered liquidation after years of financial decline.,Commercial,compani enter liquid year financi declin
The inheritance conflict has caused major tension among relatives.,Personal Status,inherit conflict caus major tension among relat
The case involves a request to overturn a previous court decision.,General,case involv request overturn previous court decis
My company is in conflict with a vendor about contract interpretation.,Commercial,compani conflict vendor contract interpret
The tenant is suing the landlord for not returning the security deposit.,Commercial,tenant su landlord return secur deposit
What can I do if my contractor doesn’t complete my home renovation?,Commercial,contractor doesn't complet home renov
Authorities warned citizens about rising cyber privacy risks.,General,author warn citizen rise cyber privaci risk
My spouse is hiding assets during our divorce process.,Personal Status,spous hide asset divorc process
Music copyright case — disagreement over ownership and usage rights.,General,music copyright case — disagr ownership usag right
The case involves conflict between siblings about family land ownership.,Personal Status,case involv conflict sibl famili land ownership
The husband approached his ex-wife to reconcile and remarry her.,Personal Status,husband approach exwif reconcil remarri
My husband won’t give me a divorce even though things aren’t working,Personal Status,husband won't give divorc even though thing aren't work
The client agreed to all terms but still refuses to make it official.,Commercial,client agre term still refus make offici
A business filed a complaint after malpractice caused major financial and legal issues.,Commercial,busi file complaint malpractic caus major financi legal issu
"Lost my legal documents, need urgent assistance to get new ones.",General,lost legal document need urgent assist get new one
"My business agreement was broken, and I need guidance on next steps.",Commercial,busi agreement broken need guidanc next step
Illegal eviction case — tenant seeks legal assistance.,Commercial,illeg evict case — tenant seek legal assist
The care decision included supervision terms for both parents.,Personal Status,care decis includ supervis term parent
I’m filing a case to demand child support from the father,Personal Status,i'm file case demand child support father
The court reviewed evidence related to the stolen property.,General,court review evid relat stolen properti
I need legal advice because the repair shop won’t fix my car under warranty terms.,Commercial,need legal advic repair shop won't fix car warranti term
I found my images being shared on a website without my consent.,General,found imag share websit without consent
The court reviewed a case involving a breach of privacy within a corporate system.,Commercial,court review case involv breach privaci within corpor system
A dispute arose between the franchisor and franchisee over payment terms.,Commercial,disput aros franchisor franchise payment term
I want to transfer my child to a different school after the divorce.,Personal Status,want transfer child differ school divorc
The victim reported intimidation after receiving threatening messages.,General,victim report intimid receiv threaten messag
The companies are in a legal disagreement due to failure to meet shipping deadlines.,Commercial,compani legal disagr due failur meet ship deadlin
The theft occurred late at night while the family was asleep.,General,theft occur late night famili asleep
Employee stole company data.,Commercial,employe stole compani data
The father denied all allegations of welfare concerns against him.,Personal Status,father deni alleg welfar concern
A case was raised concerning repeated product complaints from buyers.,Commercial,case rais concern repeat product complaint buyer
I’m seeking legal guidance before starting divorce mediation.,Personal Status,i'm seek legal guidanc start divorc mediat
"Someone copied my content without permission, and I want to take action.",General,someon copi content without permiss want take action
What are my options if I was injured at work and need compensation?,General,option injur work need compens
I want to hire a lawyer because my customer still owes me money for an unpaid invoice.,Commercial,want hire lawyer custom still owe money unpaid invoic
The company filed a complaint after receiving extortion threats from a competitor.,Commercial,compani file complaint receiv extort threat competitor
A case was opened after an incident that endangered public safety.,General,case open incid endang public safeti
The company declared insolvency after being unable to meet its financial obligations.,Commercial,compani declar insolv unabl meet financi oblig
"Someone stole my bike in the neighborhood, can I take legal action?",General,someon stole bike neighborhood take legal action
The case involves violation of employment terms by a company.,Commercial,case involv violat employ term compani
"A person posted lies about me online, damaging my reputation.",General,person post lie onlin damag reput
She accused the clinic of medical negligence after receiving incorrect treatment.,General,accus clinic medic neglig receiv incorrect treatment
I want divorce,Personal Status,want divorc
The case involves a custody issue between parents.,Personal Status,case involv custodi issu parent
The court decided to withdraw custody due to child neglect.,Personal Status,court decid withdraw custodi due child neglect
The court postponed the final care decision pending investigation.,Personal Status,court postpon final care decis pend investig
The victim filed a case after suffering a physical attack from a stranger.,General,victim file case suffer physic attack stranger
I want to report identity theft and recover my lost funds.,General,want report ident theft recov lost fund
The case involved a divorce finalized by mutual agreement.,Personal Status,case involv divorc final mutual agreement
I’m having issues with my business partner about sharing the profits.,Commercial,i'm issu busi partner share profit
The court reviewed a case involving environmental safety violations at a private facility.,Commercial,court review case involv environment safeti violat privat facil
My child was taken by the non-custodial parent without permission.,Personal Status,child taken noncustodi parent without permiss
Both parties agreed to renew the distribution contract for another year.,Commercial,parti agre renew distribut contract anoth year
The investor filed a case claiming violation of investor rights.,Commercial,investor file case claim violat investor right
A driving offense was recorded against a vehicle owned by a transportation company.,Commercial,drive offens record vehicl own transport compani
Proving paternity of a child.,Personal Status,prove patern child
"My husband refuses to let our marriage go, even though we have constant problems",Personal Status,husband refus let marriag go even though constant problem
A charity reported embezzlement after discovering missing donations.,General,chariti report embezzl discov miss donat
The daughter objected to being excluded from her father’s will.,Personal Status,daughter object exclud father
Company not honoring warranty claims.,Commercial,compani honor warranti claim
What’s the legal process for adopting a child? I need help.,Personal Status,what legal process adopt child need help
I’m planning to file for custody and need help with the process.,Personal Status,i'm plan file custodi need help process
The shareholders demanded accountability for misuse of company funds.,Commercial,sharehold demand account misus compani fund
I’m seeking legal advice about collecting overdue child support.,Personal Status,i'm seek legal advic collect overdu child support
The supplier accused the client of breaching payment terms.,Commercial,supplier accus client breach payment term
"The other driver blames me for the crash, but it wasn’t my fault.",General,driver blame crash wasn't fault
I want to report a contractor for failing to meet the renovation contract terms.,Commercial,want report contractor fail meet renov contract term
The case involves financial fraud and an unauthorized payment.,General,case involv financi fraud unauthor payment
The victim filed a complaint after receiving a serious threat from an unknown number.,General,victim file complaint receiv serious threat unknown number
I want to change my child's school after divorce.,Personal Status,want chang child school divorc
I’m filing a complaint because the repair shop won’t honor the warranty.,Commercial,i'm file complaint repair shop won't honor warranti
I need guidance on how to remove my photos and file a complaint.,General,need guidanc remov photo file complaint
The court reviewed evidence related to a serious fraud case.,General,court review evid relat serious fraud case
What are my options if the other parent refuses to pay child support?,Personal Status,option parent refus pay child support
The renter is refusing to pay despite several reminders.,Commercial,renter refus pay despit sever remind
The bank initiated legal action following the client’s insolvency declaration.,Commercial,bank initi legal action follow client insolv declar
Creditors filed a petition to initiate company liquidation.,Commercial,creditor file petit initi compani liquid
The court reviewed a case involving pollution created by a private industrial facility.,Commercial,court review case involv pollut creat privat industri facil
The partner was sued for not performing his agreed business obligations.,Commercial,partner su perform agre busi oblig
The user spread harmful content that affected my reputation.,General,user spread harm content affect reput
The case involves an employer who didn’t meet the conditions in the job contract.,Commercial,case involv employ didn't meet condit job contract
She submitted an injury claim after slipping in a public area.,General,submit injuri claim slip public area
"Tenant didn’t pay rent, and I need to know my legal rights.",Commercial,tenant didn't pay rent need know legal right
I’m taking the father to court because he hasn’t provided child maintenance.,Personal Status,i'm take father court hasn't provid child mainten
"I lost my passport abroad, what should I do?",General,lost passport abroad
I need legal advice because my neighbor’s construction is invading my property.,General,need legal advic neighbor construct invad properti
The court reviewed evidence related to a data breach caused by weak security.,General,court review evid relat data breach caus weak secur
Workplace discrimination case.,General,workplac discrimin case
My employer broke the contract and didn’t meet their obligations.,Commercial,employ broke contract didn't meet oblig
He reported a physical attack after being assaulted late at night.,General,report physic attack assault late night
Business conflict over trademark usage.,Commercial,busi conflict trademark usag
Client refusing to sign contract after agreement.,Commercial,client refus sign contract agreement
The company filed a case against its supplier for failing to deliver goods.,Commercial,compani file case supplier fail deliv good
I’m looking for advice about a land ownership conflict with my neighbor.,General,i'm look advic land ownership conflict neighbor
I need legal help because my landlord keeps breaking tenant laws.,Commercial,need legal help landlord keep break tenant law
The tenant is demanding the court to order the landlord to refund the deposit.,Commercial,tenant demand court order landlord refund deposit
She felt unsafe after receiving a threat from a former friend.,General,felt unsaf receiv threat former friend
I’m asking for help to report an internet fraud case.,General,i'm ask help report internet fraud case
A legal notice was issued concerning the service dispute.,Commercial,legal notic issu concern servic disput
The store refused to refund or replace a defective product.,Commercial,store refus refund replac defect product
The lawsuit aims to protect investor rights and ensure transparency in business operations.,Commercial,lawsuit aim protect investor right ensur transpar busi oper
A legal dispute arose concerning the withdrawal of child custody.,Personal Status,legal disput aros concern withdraw child custodi
My husband won’t consider divorce even after everything we’ve been through,Personal Status,husband won't consid divorc even everyth we'v
What should I do if I’m being defamed through workplace emails?,General,i'm defam workplac email
A case was filed after repeated traffic violations caused an accident.,General,case file repeat traffic violat caus accid
A case was opened due to the failure to follow data protection standards.,General,case open due failur follow data protect standard
Custody dispute — parents fighting for care of a teenage child.,Personal Status,custodi disput — parent fight care teenag child
My neighbor crossed the boundary and cut down several trees from my yard.,General,neighbor cross boundari cut sever tree yard
The business faced insolvency due to poor cash flow management.,Commercial,busi face insolv due poor cash flow manag
"My warranty should cover this issue, but the repair shop won’t do it.",Commercial,warranti cover issu repair shop won't
The board meeting ended without resolution due to management conflicts.,Commercial,board meet end without resolut due manag conflict
"I purchased something online, but it didn’t work properly when it arrived.",Commercial,purchas someth onlin didn't work proper arriv
I misplaced my passport during travel and don’t know what to do next.,General,misplac passport travel don't know next
The case involves misuse of funds collected for humanitarian purposes.,General,case involv misus fund collect humanitarian purpos
I’m seeking legal advice about distributing a family estate.,Personal Status,i'm seek legal advic distribut famili estat
The client reported a product complaint about poor quality materials.,Commercial,client report product complaint poor qualiti materi
What can I do if I’m being discriminated against at work?,General,i'm discrimin work
What can I do if my spouse refuses to pay alimony?,Personal Status,spous refus pay alimoni
The case involves a personal injury that happened in a public location.,General,case involv person injuri happen public locat
The case involves online misuse of personal photos and privacy violation.,General,case involv onlin misus person photo privaci violat
I’m seeking legal advice about a contractor refusing final payment terms.,Commercial,i'm seek legal advic contractor refus final payment term
What are my options if my family won’t divide the inherited property?,Personal Status,option famili won't divid inherit properti
Community members requested tighter security due to increasing violence.,General,communiti member request tighter secur due increas violenc
I want to enroll my child in a new school now that the divorce is finalized.,Personal Status,want enrol child new school divorc final
A commercial complaint was filed after a restaurant caused a health risk through spoiled food.,Commercial,commerci complaint file restaur caus health risk spoil food
I want to know how the court decides who gets what after separation.,Personal Status,want know court decid get separ
I need legal help because my builder is asking for more money than agreed.,Commercial,need legal help builder ask money agre
The consumer protection agency investigated the company for hidden product defects.,Commercial,consum protect agenc investig compani hidden product defect
The board members requested arbitration to end the company dispute.,Commercial,board member request arbitr end compani disput
I’m asking for legal advice about recovering unpaid utility charges.,Commercial,i'm ask legal advic recov unpaid util charg
A case was filed to establish the family identity of the newborn.,Personal Status,case file establish famili ident newborn
The CEO resigned due to an ongoing management conflict.,Commercial,ceo resign due ongo manag conflict
My coworker keeps making inappropriate comments toward me.,General,cowork keep make inappropri comment toward
I want to register my new business and need advice.,Commercial,want regist new busi need advic
He admitted to the driving offense during the investigation.,General,admit drive offens investig
I’m having a dispute with a supplier over the terms of our contract.,Commercial,i'm disput supplier term contract
The audit revealed strong evidence of financial crime within the corporation.,Commercial,audit reveal strong evid financi crime within corpor
Landlord–tenant dispute over property damage and unpaid repairs.,Commercial,landlord–ten disput properti damag unpaid repair
The partners signed a financial agreement to manage shared investments.,Commercial,partner sign financi agreement manag share invest
She demanded stronger data protection after repeated privacy concerns.,General,demand stronger data protect repeat privaci concern
I’m seeking legal advice on resolving a client dispute about service terms.,Commercial,i'm seek legal advic resolv client disput servic term
The court handled a dispute regarding the child’s family identity.,Personal Status,court handl disput regard child famili ident
Authorities issued a warning after several threat reports in the area.,General,author issu warn sever threat report area
Can I take legal action if someone uses my copyrighted work on the internet?,General,take legal action someon use copyright work internet
I’m requesting the court’s consent to change my child’s school due to the divorce.,Personal Status,i'm request court consent chang child school due divorc
A case was filed to issue new legal documentation after marriage dissolution.,Personal Status,case file issu new legal document marriag dissolut
The investigation revealed a major health risk affecting several households.,General,investig reveal major health risk affect sever household
A complaint was filed after personal data misuse by a business employee.,Commercial,complaint file person data misus busi employe
A commercial case was filed after a hospital error occurred in a corporate medical center.,Commercial,commerci case file hospit error occur corpor medic center
She demanded recognition of her marriage through legal proof.,Personal Status,demand recognit marriag legal proof
A resident filed a complaint about a situation that threatened public safety.,General,resid file complaint situat threaten public safeti
The court handled a commercial case involving stolen property from a shipment.,Commercial,court handl commerci case involv stolen properti shipment
My employment rights were breached by the company.,Commercial,employ right breach compani
I’m seeking advice about child custody arrangements after separation.,Personal Status,i'm seek advic child custodi arrang separ
A dispute arose over who should care for the incapacitated individual.,Personal Status,disput aros care incapacit individu
The business was criticized for poor working conditions that breached human rights standards.,Commercial,busi critic poor work condit breach human right standard
The case focuses on illegal transfers and manipulation of financial records.,Commercial,case focus illeg transfer manipul financi record
The couple decided to end their marriage legally.,Personal Status,coupl decid end marriag legal
Noise dispute — neighbor refuses to cooperate after multiple warnings.,General,nois disput — neighbor refus cooper multipl warn
The relatives requested legal help to settle a property dispute over their father’s estate.,Personal Status,relat request legal help settl properti disput father estat
Harassment in workplace.,General,harass workplac
The mother denied the father’s contact rights without a legal reason.,Personal Status,mother deni father contact right without legal reason
A legal case was opened due to recurring payment issues.,Commercial,legal case open due recur payment issu
A legal case was filed to resolve an internal company dispute.,Commercial,legal case file resolv intern compani disput
Another artist is claiming credit for my original music.,General,anoth artist claim credit origin music
My spouse hiding assets during divorce.,Personal Status,spous hide asset divorc
I want to take legal action for defamation in internal office emails.,General,want take legal action defam intern offic email
The case concerns establishing custodianship for property and personal care.,Personal Status,case concern establish custodianship properti person care
She received a ticket for a driving offense involving speeding.,General,receiv ticket drive offens involv speed
The company filed a case against the client over a service dispute.,Commercial,compani file case client servic disput
Vehicle accident with uninsured driver.,General,vehicl accid uninsur driver
Car accident case — both sides claiming the other is responsible.,General,car accid case — side claim respons
I’m seeking legal advice because my partner is committing tax fraud.,Commercial,i'm seek legal advic partner commit tax fraud
The case involves verbal and physical assault committed against the victim.,General,case involv verbal physic assault commit victim
I want to get my money back from a scammer who sold me a fake item.,Commercial,want get money back scammer sold fake item
The disagreement centers on dividing the company’s income among partners.,Commercial,disagr center divid compani incom among partner
"Car accident dispute, who pays for damages?",General,car accid disput pay damag
The case highlights the importance of preserving the child’s emotional stability.,Personal Status,case highlight import preserv child emot stabil
I’m asking for advice on how to claim a refund for an incorrect order.,Commercial,i'm ask advic claim refund incorrect order
"My husband won’t agree to end things between us, even though nothing’s working",Personal Status,husband won't agre end thing us even though noth work
The case involves intimidation intended to cause fear and psychological harm.,General,case involv intimid intend caus fear psycholog harm
I need legal help because I was falsely accused of shoplifting.,General,need legal help fals accus shoplift
The court required legal paperwork to process the family case.,Personal Status,court requir legal paperwork process famili case
The case involves false accusations shared by email within the office.,General,case involv fals accus share email within offic
Authorities investigated the living conditions of children under orphan care.,Personal Status,author investig live condit children orphan care
I’m planning to appeal a recent judgment made against me.,General,i'm plan appeal recent judgment made
The buyer demanded a refund for a product defect under warranty.,Commercial,buyer demand refund product defect warranti
The case involves online fraud and unauthorized data access.,General,case involv onlin fraud unauthor data access
A report highlighted severe environmental damage that impacted public health.,General,report highlight sever environment damag impact public health
The couple decided to end their marriage by mutual consent.,Personal Status,coupl decid end marriag mutual consent
Divorce settlement negotiation.,Personal Status,divorc settlement negoti
The online seller disappeared after receiving payment.,Commercial,onlin seller disappear receiv payment
"A case was opened after rumors spread, resulting in reputation damage.",General,case open rumor spread result reput damag
The court reviewed a dispute regarding the revocation of divorce.,Personal Status,court review disput regard revoc divorc
A theft case was filed after items were stolen from a parked car.,General,theft case file item stolen park car
They resumed their relationship and sought legal confirmation of reconciliation.,Personal Status,resum relationship sought legal confirm reconcili
I believe my partner is concealing money and property in the divorce.,Personal Status,believ partner conceal money properti divorc
The heirs disputed the distribution of property stated in the will.,Personal Status,heir disput distribut properti state
The client ignored the contract conditions and used my code illegally.,Commercial,client ignor contract condit use code illeg
The mother requested the court to restrict the father’s visitation rights.,Personal Status,mother request court restrict father visit right
Dispute over unpaid rent.,Commercial,disput unpaid rent
A complaint was filed against a platform for failing to protect user cyber privacy.,Commercial,complaint file platform fail protect user cyber privaci
I’m in a contract dispute with a client over a software development project.,Commercial,i'm contract disput client softwar develop project
