Case Description,Category,label
The court validated the testament after confirming it was signed legally.,Personal Status,0
She filed a case to adjust the terms of parent access.,Personal Status,0
I need legal guidance on how to get custody of my child.,Personal Status,0
One of our employees is misusing company funds for personal expenses.,Commercial,1
Need advice — I’m starting a business and want to handle the registration right.,Commercial,1
The customer demanded compensation through the e-commerce platform.,Commercial,1
Authorities investigated an environmental safety issue involving harmful fumes.,General,2
The shareholder filed a case against the company for unfair treatment.,Commercial,1
Our customer claims we didn’t meet the conditions of the contract.,Commercial,1
What can I do if I’m being harassed at work?,General,2
A case was filed to determine legal custody for an incapacitated person.,Personal Status,0
The community expressed concerns about a health risk affecting local families.,General,2
The husband and wife signed papers confirming mutual consent.,Personal Status,0
The victim claimed that medical staff neglected basic patient rights.,General,2
The franchise owner filed a complaint against the parent company for contract breach.,Commercial,1
What should I do if another business uses my trademark?,Commercial,1
The court reviewed a commercial fine imposed for misleading advertisements.,Commercial,1
Someone used my information to apply for a fraudulent loan.,General,2
I’m facing harassment at my workplace and need legal help.,General,2
I want to take legal action against a user for posting lies about me.,General,2
A marriage annulment case was submitted due to invalid conditions.,Personal Status,0
A legal complaint was filed for violating clauses in the distribution contract.,Commercial,1
I’m asking for legal help to start the guardianship process.,Personal Status,0
She filed a complaint due to non-payment of alimony.,Personal Status,0
The court reviewed a case involving misuse of the franchise brand.,Commercial,1
"We dissolved our partnership, but the profits haven’t been divided yet.",Commercial,1
Business tax fraud case — partner concealing revenue from officials.,Commercial,1
The dispute centers on a contract breach caused by delayed product shipment.,Commercial,1
The case involves a dispute with a car service center about warranty repair.,Commercial,1
Someone posted false info about me online. Can I sue?,General,2
I want to know whether mediation can help us avoid going to court.,Personal Status,0
My partner didn’t follow the terms of our business contract.,Commercial,1
I want to report unauthorized construction in my neighborhood.,General,2
The heirs requested transparency in the management of the family endowment assets.,Personal Status,0
The case is about a neighbor encroaching on private land while building a wall.,General,2
I’m asking for legal advice about splitting assets with my ex-spouse.,Personal Status,0
The court reviewed a commercial dispute involving patient rights in a private facility.,Commercial,1
The firm reported extortion attempts aimed at influencing its decisions.,Commercial,1
The police reviewed evidence related to a cyber privacy violation on her device.,General,2
Can I request replacements for lost legal documents?,General,2
I need guidance on how to transfer my child to a new school after the divorce ruling.,Personal Status,0
Tenant rights issue — landlord ignoring repair requests.,Commercial,1
Residents filed a complaint about a health risk caused by strong chemical odors.,General,2
A company dispute arose after disagreements about financial control.,Commercial,1
Contractor dispute — home renovation not finished or done poorly.,Commercial,1
I need legal guidance on how to adopt a child properly.,Personal Status,0
The employee was arrested for embezzlement after misusing public funds.,General,2
A commercial driver received penalties for traffic violations during a shipment.,Commercial,1
A case was filed after growing customer dissatisfaction with the product.,Commercial,1
Child visitation rights dispute.,Personal Status,0
I need advice on divorce mediation.,Personal Status,0
A dispute arose due to an unauthorized online transaction.,Commercial,1
"Someone harassed me on the bus, and I want to report it.",General,2
The case involves fraud and the use of false documents in a commercial agreement.,Commercial,1
"Someone posted false statements about me online, and I’m taking legal action.",General,2
What can I do if my company breached my employment contract?,Commercial,1
The court handled a complaint involving a breach of patient rights and privacy.,General,2
The case involves guardianship of a child whose parents can’t care for them.,Personal Status,0
Authorities investigated a video showing violence in a public place.,General,2
I’m seeking advice on how to report online defamation.,General,2
Fraud case — unauthorized loan created with stolen information.,General,2
The appointed liquidator submitted a final report on the company’s liquidation.,Commercial,1
The supplier was accused of committing commercial fraud through fake contracts.,Commercial,1
The case involves unpaid child support and financial neglect.,Personal Status,0
The individual accused the specialist of malpractice that led to serious consequences.,General,2
A client is suing the e-commerce company for selling a faulty product.,Commercial,1
The bankruptcy case focused on asset liquidation and debt repayment.,Commercial,1
What should I do to file an accident compensation claim?,General,2
The court reviewed a complaint regarding violations affecting public safety.,General,2
My husband insists on staying married despite our ongoing troubles,Personal Status,0
Reputation damage occurred after someone shared private information without consent.,General,2
The court handled a commercial dispute involving misuse of corporate funds.,Commercial,1
The user submitted a formal service complaint regarding system failure.,Commercial,1
The case concerns recognizing the child born outside of marriage.,Personal Status,0
The woman sought annulment on the grounds of deception.,Personal Status,0
I’m planning to adopt and would like advice on the process.,Personal Status,0
The court reviewed evidence related to a hospital error during surgery.,General,2
Company breach of warranty.,Commercial,1
My personal details were stolen and used without my permission.,General,2
Can I file a case for defamation if someone spreads false info about me online?,General,2
She filed for custody transfer claiming better living conditions for the child.,Personal Status,0
The private clinic faced legal action for malpractice performed by its staff.,Commercial,1
The client refused to pay after I delivered the completed software.,Commercial,1
The firm reported a rental issue after the landlord breached the commercial lease terms.,Commercial,1
A human rights complaint was submitted regarding unfair treatment by officials.,General,2
I’m reporting that my ex-partner kidnapped our child after losing custody.,Personal Status,0
I want to take legal action against my tenant for nonpayment of rent.,Commercial,1
I want to know the right process for writing a will that protects my assets.,Personal Status,0
I was targeted by online abuse and want to report it.,General,2
I’m seeking legal advice about drafting and registering my will.,Personal Status,0
I noticed a fraudulent transaction in my bank account.,General,2
Authorities reported a serious driving offense for running a red light.,General,2
I’m seeking legal advice about reporting a cyber fraud case involving my data.,General,2
The court handled a commercial case involving a data breach affecting financial details.,Commercial,1
The ministry granted foster parent status after background checks.,Personal Status,0
I want to know how to resolve divorce issues peacefully through mediation.,Personal Status,0
The contractor didn’t complete the renovation work as agreed.,Commercial,1
I’m looking for a lawyer to help me draft my will properly.,Personal Status,0
Partnership dispute — one partner claims the other kept most of the earnings.,Commercial,1
My spouse refuses to pay alimony even after the court order.,Personal Status,0
The husband demanded custody transfer due to neglect by the mother.,Personal Status,0
The judge prioritized resolving welfare concerns before deciding custody.,Personal Status,0
The accused denied involvement in any act of commercial fraud.,Commercial,1
A custody conflict between the parents following their divorce,Personal Status,0
A medical negligence claim was submitted after the doctor failed to diagnose the condition.,General,2
The case involved misuse of funds belonging to an incapacitated individual.,Personal Status,0
The shareholders demanded enforcement of their investor rights.,Commercial,1
The case involves identity theft and unauthorized financial activity.,General,2
The customer filed a case after discovering a serious product defect.,Commercial,1
The case involves unlawful building on government property.,General,2
Breach of employment terms by company — need legal guidance.,Commercial,1
A data protection complaint was filed against a business that leaked client records.,Commercial,1
Ending the marriage,Personal Status,0
The financial agreement outlined payment schedules and profit-sharing terms.,Commercial,1
The case is about a landlord who didn’t return the tenant’s deposit after moving out.,Commercial,1
I’ve been in a custody dispute with my ex since the divorce,Personal Status,0
I want to know how to protect myself from an unlawful eviction.,General,2
The company was fined for failing to comply with data protection regulations.,Commercial,1
Disagreement about child custody once the marriage ended,Personal Status,0
"My personal information was stolen online, and I need legal support.",General,2
I’m filing a claim because the company didn’t respect my job terms.,Commercial,1
The case involves online defamation and public humiliation.,General,2
The husband and wife agreed on the termination of their marriage.,Personal Status,0
I want to report an online store for refusing to refund after a wrong delivery.,Commercial,1
The firm was accused of personal data misuse for sharing client details without consent.,Commercial,1
A company was fined for selling goods under an imitated brand.,Commercial,1
I need to know how to take action against harassment at my workplace.,General,2
The court handled a case involving the return of the dowry amount.,Personal Status,0
My data was leaked and used for unauthorized transactions.,General,2
I want to know how to make my ex comply with the payment order.,Personal Status,0
I’m seeking help to make my spouse comply with alimony payments.,Personal Status,0
I’m planning to sue a user for defaming me through social media posts.,General,2
I want to claim financial support for my children from their father,Personal Status,0
"My visa process has problems, and I want to know my options.",General,2
A joint request for divorce by mutual consent was submitted.,Personal Status,0
The court reviewed medical reports related to the physical attack.,General,2
A dispute arose regarding the theft of confidential business files.,Commercial,1
My client failed to pay and breached the software service agreement.,Commercial,1
Can I press charges if my bike was stolen from the neighborhood?,General,2
"I’m fighting to keep my kids, but my ex keeps taking me to court",Personal Status,0
Can I take legal action if my neighbor builds a wall on my property?,General,2
"Someone spread false information about me online, and I want to take legal action.",General,2
I want to know my rights after a car accident where the other driver refuses to pay.,General,2
Unlawful rent hike — landlord increased rent beyond the contract terms.,Commercial,1
The case involves an unlawful eviction threat from the property owner.,General,2
The mother argued that staying with her serves the child’s best interest.,Personal Status,0
She reported an online threat sent through social media messages.,General,2
A property dispute arose among siblings over the land left by their parents.,Personal Status,0
"My bike got stolen, and I’m not sure what legal steps to take.",General,2
The victim demanded compensation for harm suffered due to medical negligence.,General,2
The case is about theft of personal property from a residential area.,General,2
I need guidance on how to continue the adoption after a rejection.,Personal Status,0
I need legal help to make my landlord handle the required maintenance.,Commercial,1
The court handled an insolvency case involving multiple creditors.,Commercial,1
"The apartment has leaks and damage, and the owner won’t respond.",Commercial,1
A dispute arose between the seller and buyer on an online marketplace.,Commercial,1
The organization was accused of negligence in orphan care management.,Personal Status,0
The case involves unfair practices that violated the investor’s legal rights.,Commercial,1
Authorities investigated a case involving personal data misuse by an unknown individual.,General,2
I’m seeking legal advice about filing a copyright infringement claim.,General,2
I want to know how to submit an official accident compensation request.,General,2
A commercial case was opened regarding cyber privacy violations in a corporate database.,Commercial,1
The parties reached a settlement and renewed their financial agreement.,Commercial,1
A lawsuit was filed for violating the registered patent of a competitor.,Commercial,1
The customer filed a complaint after the repair shop refused to fix the car under warranty.,Commercial,1
The dispute involves a wall constructed over someone else’s property line.,General,2
The court investigated claims of fake contracts between the partners.,Commercial,1
Data breach by employee — looking for legal options.,Commercial,1
A conflict emerged over the valuation and division of assets.,Personal Status,0
The beneficiaries disagreed on how the family endowment should be managed.,Personal Status,0
The court handled a commercial dispute involving a hospital error in a private facility.,Commercial,1
I want to report my landlord for illegal behavior toward tenants.,Commercial,1
"My husband still doesn’t want a divorce, no matter how bad things get",Personal Status,0
The wife applied for legal dissolution of the marriage.,Personal Status,0
She filed a case to terminate the marital relationship.,Personal Status,0
The company launched an investigation into violence between two employees.,Commercial,1
He reported an assault after being attacked by an unknown person.,General,2
The court handled a case involving serious traffic violations.,General,2
I need legal help because my neighbor destroyed my property’s trees.,General,2
The factory faced legal action for causing pollution near residential areas.,Commercial,1
A case was opened due to cyber privacy violations on a public platform.,General,2
I need legal advice about unauthorized withdrawals from my bank.,General,2
I’m living in poor conditions because the landlord won’t repair the damage.,Commercial,1
Wrongful termination case — employee fired without legal cause.,Commercial,1
Employee wrongfully terminated.,Commercial,1
The court reviewed a complaint related to customer dissatisfaction and false advertising.,Commercial,1
My siblings and I can’t agree on how to split our parents’ property.,Personal Status,0
My husband refuses to separate even though we argue all the time,Personal Status,0
The court appointed a trustee to oversee the company’s bankruptcy case.,Commercial,1
Cybercrime report needed.,General,2
He accused the suspect of violating his basic human rights.,General,2
A tech platform was investigated for personal data misuse that affected thousands of users.,Commercial,1
"I’m having constant noise problems with my neighbor, and it’s getting worse.",General,2
I’m filing a complaint because my ex-partner stopped paying alimony.,Personal Status,0
The company managing the clinic was criticized for repeated hospital errors.,Commercial,1
The court decision focused on regulating parental access.,Personal Status,0
The court evaluated which parent could better meet the child’s needs.,Personal Status,0
She filed a complaint after receiving threats and violence online.,General,2
I’m asking the court to investigate hidden assets my spouse kept during the divorce.,Personal Status,0
"My neighbor started building right on the boundary, and I believe it’s illegal.",General,2
The court reviewed a case involving a health risk caused by a private business.,Commercial,1
There’s a business conflict about how much profit each partner should receive.,Commercial,1
The company entered liquidation after years of financial decline.,Commercial,1
The inheritance conflict has caused major tension among relatives.,Personal Status,0
The case involves a request to overturn a previous court decision.,General,2
My company is in conflict with a vendor about contract interpretation.,Commercial,1
The tenant is suing the landlord for not returning the security deposit.,Commercial,1
What can I do if my contractor doesn’t complete my home renovation?,Commercial,1
Authorities warned citizens about rising cyber privacy risks.,General,2
My spouse is hiding assets during our divorce process.,Personal Status,0
Music copyright case — disagreement over ownership and usage rights.,General,2
The case involves conflict between siblings about family land ownership.,Personal Status,0
The husband approached his ex-wife to reconcile and remarry her.,Personal Status,0
My husband won’t give me a divorce even though things aren’t working,Personal Status,0
The client agreed to all terms but still refuses to make it official.,Commercial,1
A business filed a complaint after malpractice caused major financial and legal issues.,Commercial,1
"Lost my legal documents, need urgent assistance to get new ones.",General,2
"My business agreement was broken, and I need guidance on next steps.",Commercial,1
Illegal eviction case — tenant seeks legal assistance.,Commercial,1
The care decision included supervision terms for both parents.,Personal Status,0
I’m filing a case to demand child support from the father,Personal Status,0
The court reviewed evidence related to the stolen property.,General,2
I need legal advice because the repair shop won’t fix my car under warranty terms.,Commercial,1
I found my images being shared on a website without my consent.,General,2
The court reviewed a case involving a breach of privacy within a corporate system.,Commercial,1
A dispute arose between the franchisor and franchisee over payment terms.,Commercial,1
I want to transfer my child to a different school after the divorce.,Personal Status,0
The victim reported intimidation after receiving threatening messages.,General,2
The companies are in a legal disagreement due to failure to meet shipping deadlines.,Commercial,1
The theft occurred late at night while the family was asleep.,General,2
Employee stole company data.,Commercial,1
The father denied all allegations of welfare concerns against him.,Personal Status,0
A case was raised concerning repeated product complaints from buyers.,Commercial,1
I’m seeking legal guidance before starting divorce mediation.,Personal Status,0
"Someone copied my content without permission, and I want to take action.",General,2
What are my options if I was injured at work and need compensation?,General,2
I want to hire a lawyer because my customer still owes me money for an unpaid invoice.,Commercial,1
The company filed a complaint after receiving extortion threats from a competitor.,Commercial,1
A case was opened after an incident that endangered public safety.,General,2
The company declared insolvency after being unable to meet its financial obligations.,Commercial,1
"Someone stole my bike in the neighborhood, can I take legal action?",General,2
The case involves violation of employment terms by a company.,Commercial,1
"A person posted lies about me online, damaging my reputation.",General,2
She accused the clinic of medical negligence after receiving incorrect treatment.,General,2
I want divorce,Personal Status,0
The case involves a custody issue between parents.,Personal Status,0
The court decided to withdraw custody due to child neglect.,Personal Status,0
The court postponed the final care decision pending investigation.,Personal Status,0
The victim filed a case after suffering a physical attack from a stranger.,General,2
I want to report identity theft and recover my lost funds.,General,2
The case involved a divorce finalized by mutual agreement.,Personal Status,0
I’m having issues with my business partner about sharing the profits.,Commercial,1
The court reviewed a case involving environmental safety violations at a private facility.,Commercial,1
My child was taken by the non-custodial parent without permission.,Personal Status,0
Both parties agreed to renew the distribution contract for another year.,Commercial,1
The investor filed a case claiming violation of investor rights.,Commercial,1
A driving offense was recorded against a vehicle owned by a transportation company.,Commercial,1
Proving paternity of a child.,Personal Status,0
"My husband refuses to let our marriage go, even though we have constant problems",Personal Status,0
A charity reported embezzlement after discovering missing donations.,General,2
The daughter objected to being excluded from her father’s will.,Personal Status,0
Company not honoring warranty claims.,Commercial,1
What’s the legal process for adopting a child? I need help.,Personal Status,0
I’m planning to file for custody and need help with the process.,Personal Status,0
The shareholders demanded accountability for misuse of company funds.,Commercial,1
I’m seeking legal advice about collecting overdue child support.,Personal Status,0
The supplier accused the client of breaching payment terms.,Commercial,1
"The other driver blames me for the crash, but it wasn’t my fault.",General,2
I want to report a contractor for failing to meet the renovation contract terms.,Commercial,1
The case involves financial fraud and an unauthorized payment.,General,2
The victim filed a complaint after receiving a serious threat from an unknown number.,General,2
I want to change my child's school after divorce.,Personal Status,0
I’m filing a complaint because the repair shop won’t honor the warranty.,Commercial,1
I need guidance on how to remove my photos and file a complaint.,General,2
The court reviewed evidence related to a serious fraud case.,General,2
What are my options if the other parent refuses to pay child support?,Personal Status,0
The renter is refusing to pay despite several reminders.,Commercial,1
The bank initiated legal action following the client’s insolvency declaration.,Commercial,1
Creditors filed a petition to initiate company liquidation.,Commercial,1
The court reviewed a case involving pollution created by a private industrial facility.,Commercial,1
The partner was sued for not performing his agreed business obligations.,Commercial,1
The user spread harmful content that affected my reputation.,General,2
The case involves an employer who didn’t meet the conditions in the job contract.,Commercial,1
She submitted an injury claim after slipping in a public area.,General,2
"Tenant didn’t pay rent, and I need to know my legal rights.",Commercial,1
I’m taking the father to court because he hasn’t provided child maintenance.,Personal Status,0
"I lost my passport abroad, what should I do?",General,2
I need legal advice because my neighbor’s construction is invading my property.,General,2
The court reviewed evidence related to a data breach caused by weak security.,General,2
Workplace discrimination case.,General,2
My employer broke the contract and didn’t meet their obligations.,Commercial,1
He reported a physical attack after being assaulted late at night.,General,2
Business conflict over trademark usage.,Commercial,1
Client refusing to sign contract after agreement.,Commercial,1
The company filed a case against its supplier for failing to deliver goods.,Commercial,1
I’m looking for advice about a land ownership conflict with my neighbor.,General,2
I need legal help because my landlord keeps breaking tenant laws.,Commercial,1
The tenant is demanding the court to order the landlord to refund the deposit.,Commercial,1
She felt unsafe after receiving a threat from a former friend.,General,2
I’m asking for help to report an internet fraud case.,General,2
A legal notice was issued concerning the service dispute.,Commercial,1
The store refused to refund or replace a defective product.,Commercial,1
The lawsuit aims to protect investor rights and ensure transparency in business operations.,Commercial,1
A legal dispute arose concerning the withdrawal of child custody.,Personal Status,0
My husband won’t consider divorce even after everything we’ve been through,Personal Status,0
What should I do if I’m being defamed through workplace emails?,General,2
A case was filed after repeated traffic violations caused an accident.,General,2
A case was opened due to the failure to follow data protection standards.,General,2
Custody dispute — parents fighting for care of a teenage child.,Personal Status,0
My neighbor crossed the boundary and cut down several trees from my yard.,General,2
The business faced insolvency due to poor cash flow management.,Commercial,1
"My warranty should cover this issue, but the repair shop won’t do it.",Commercial,1
The board meeting ended without resolution due to management conflicts.,Commercial,1
"I purchased something online, but it didn’t work properly when it arrived.",Commercial,1
I misplaced my passport during travel and don’t know what to do next.,General,2
The case involves misuse of funds collected for humanitarian purposes.,General,2
I’m seeking legal advice about distributing a family estate.,Personal Status,0
The client reported a product complaint about poor quality materials.,Commercial,1
What can I do if I’m being discriminated against at work?,General,2
What can I do if my spouse refuses to pay alimony?,Personal Status,0
The case involves a personal injury that happened in a public location.,General,2
The case involves online misuse of personal photos and privacy violation.,General,2
I’m seeking legal advice about a contractor refusing final payment terms.,Commercial,1
What are my options if my family won’t divide the inherited property?,Personal Status,0
Community members requested tighter security due to increasing violence.,General,2
I want to enroll my child in a new school now that the divorce is finalized.,Personal Status,0
A commercial complaint was filed after a restaurant caused a health risk through spoiled food.,Commercial,1
I want to know how the court decides who gets what after separation.,Personal Status,0
I need legal help because my builder is asking for more money than agreed.,Commercial,1
The consumer protection agency investigated the company for hidden product defects.,Commercial,1
The board members requested arbitration to end the company dispute.,Commercial,1
I’m asking for legal advice about recovering unpaid utility charges.,Commercial,1
A case was filed to establish the family identity of the newborn.,Personal Status,0
The CEO resigned due to an ongoing management conflict.,Commercial,1
My coworker keeps making inappropriate comments toward me.,General,2
I want to register my new business and need advice.,Commercial,1
He admitted to the driving offense during the investigation.,General,2
I’m having a dispute with a supplier over the terms of our contract.,Commercial,1
The audit revealed strong evidence of financial crime within the corporation.,Commercial,1
Landlord–tenant dispute over property damage and unpaid repairs.,Commercial,1
The partners signed a financial agreement to manage shared investments.,Commercial,1
She demanded stronger data protection after repeated privacy concerns.,General,2
I’m seeking legal advice on resolving a client dispute about service terms.,Commercial,1
The court handled a dispute regarding the child’s family identity.,Personal Status,0
Authorities issued a warning after several threat reports in the area.,General,2
Can I take legal action if someone uses my copyrighted work on the internet?,General,2
I’m requesting the court’s consent to change my child’s school due to the divorce.,Personal Status,0
A case was filed to issue new legal documentation after marriage dissolution.,Personal Status,0
The investigation revealed a major health risk affecting several households.,General,2
A complaint was filed after personal data misuse by a business employee.,Commercial,1
A commercial case was filed after a hospital error occurred in a corporate medical center.,Commercial,1
She demanded recognition of her marriage through legal proof.,Personal Status,0
A resident filed a complaint about a situation that threatened public safety.,General,2
The court handled a commercial case involving stolen property from a shipment.,Commercial,1
My employment rights were breached by the company.,Commercial,1
I’m seeking advice about child custody arrangements after separation.,Personal Status,0
A dispute arose over who should care for the incapacitated individual.,Personal Status,0
The business was criticized for poor working conditions that breached human rights standards.,Commercial,1
The case focuses on illegal transfers and manipulation of financial records.,Commercial,1
The couple decided to end their marriage legally.,Personal Status,0
Noise dispute — neighbor refuses to cooperate after multiple warnings.,General,2
The relatives requested legal help to settle a property dispute over their father’s estate.,Personal Status,0
Harassment in workplace.,General,2
The mother denied the father’s contact rights without a legal reason.,Personal Status,0
A legal case was opened due to recurring payment issues.,Commercial,1
A legal case was filed to resolve an internal company dispute.,Commercial,1
Another artist is claiming credit for my original music.,General,2
My spouse hiding assets during divorce.,Personal Status,0
I want to take legal action for defamation in internal office emails.,General,2
The case concerns establishing custodianship for property and personal care.,Personal Status,0
She received a ticket for a driving offense involving speeding.,General,2
The company filed a case against the client over a service dispute.,Commercial,1
Vehicle accident with uninsured driver.,General,2
Car accident case — both sides claiming the other is responsible.,General,2
I’m seeking legal advice because my partner is committing tax fraud.,Commercial,1
The case involves verbal and physical assault committed against the victim.,General,2
I want to get my money back from a scammer who sold me a fake item.,Commercial,1
The disagreement centers on dividing the company’s income among partners.,Commercial,1
"Car accident dispute, who pays for damages?",General,2
The case highlights the importance of preserving the child’s emotional stability.,Personal Status,0
I’m asking for advice on how to claim a refund for an incorrect order.,Commercial,1
"My husband won’t agree to end things between us, even though nothing’s working",Personal Status,0
The case involves intimidation intended to cause fear and psychological harm.,General,2
I need legal help because I was falsely accused of shoplifting.,General,2
The court required legal paperwork to process the family case.,Personal Status,0
The case involves false accusations shared by email within the office.,General,2
Authorities investigated the living conditions of children under orphan care.,Personal Status,0
I’m planning to appeal a recent judgment made against me.,General,2
The buyer demanded a refund for a product defect under warranty.,Commercial,1
The case involves online fraud and unauthorized data access.,General,2
A report highlighted severe environmental damage that impacted public health.,General,2
The couple decided to end their marriage by mutual consent.,Personal Status,0
Divorce settlement negotiation.,Personal Status,0
The online seller disappeared after receiving payment.,Commercial,1
"A case was opened after rumors spread, resulting in reputation damage.",General,2
The court reviewed a dispute regarding the revocation of divorce.,Personal Status,0
A theft case was filed after items were stolen from a parked car.,General,2
They resumed their relationship and sought legal confirmation of reconciliation.,Personal Status,0
I believe my partner is concealing money and property in the divorce.,Personal Status,0
The heirs disputed the distribution of property stated in the will.,Personal Status,0
The client ignored the contract conditions and used my code illegally.,Commercial,1
The mother requested the court to restrict the father’s visitation rights.,Personal Status,0
Dispute over unpaid rent.,Commercial,1
A complaint was filed against a platform for failing to protect user cyber privacy.,Commercial,1
I’m in a contract dispute with a client over a software development project.,Commercial,1
Can I take legal action if my partner refuses to share business profits?,Commercial,1
A case concerning the termination of marriage was recorded.,Personal Status,0
I need legal help because the client broke our software license agreement.,Commercial,1
The case involves data theft and violation of company policy.,Commercial,1
I want to report my partner for concealing earnings from the tax office.,Commercial,1
I need advice on how divorce mediation works.,Personal Status,0
A legal notice was issued regarding a commercial loan dispute.,Commercial,1
Contract dispute — disagreement between business and supplier.,Commercial,1
The factory faced legal action for violating environmental safety regulations.,Commercial,1
The husband and wife filed for divorce with mutual consent.,Personal Status,0
I’m requesting the court to order the father to provide child maintenance.,Personal Status,0
The court reviewed a fine issued for ignoring official instructions.,General,2
The court reviewed a case concerning the care of an orphaned child.,Personal Status,0
The property owner refuses to follow the rental agreement.,Commercial,1
The company applied for a patent to secure its new technology.,Commercial,1
A customer reported a physical attack by a staff member in the store.,Commercial,1
A case was opened due to personal data misuse involving leaked photos.,General,2
The paternity case aimed to confirm the child’s lineage officially.,Personal Status,0
Legal dispute concerning custody rights after divorce,Personal Status,0
I’m looking for legal advice about enforcing a software agreement.,Commercial,1
I need legal help to stop illegal construction in a public space.,General,2
I’m asking for legal advice about handling theft within the company.,Commercial,1
I filed a request to consult a lawyer on how to complete my divorce fast.,Personal Status,0
The drivers are in conflict about who should handle the repair costs.,General,2
A commercial case was filed against a law firm accused of malpractice.,Commercial,1
Someone posted my personal photos online without my permission.,General,2
Purchase dispute — goods not delivered after payment.,Commercial,1
The court reviewed evidence showing misuse of funds in a community project.,General,2
The stolen property was identified by the owner and returned to him.,General,2
Creditors demanded repayment after the official insolvency notice was issued.,Commercial,1
Authorities launched an investigation into poor data protection on a public platform.,General,2
The wife filed a case seeking annulment of her marriage.,Personal Status,0
The company faced legal action for creating a health risk near residential areas.,Commercial,1
The court approved the couple as legal foster parents for the child.,Personal Status,0
What should I do if a retailer refuses to resolve my complaint?,Commercial,1
The case focuses on copyright and trademark issues between the two parties.,Commercial,1
"The former partner kept all the earnings, and I want to take action.",Commercial,1
I need legal help because a person on social media damaged my reputation.,General,2
I’m trying to recover from identity theft and want to know the right steps.,General,2
A witness claimed to have seen someone committing the theft.,General,2
A competitor was accused of intentionally causing reputation damage to the brand.,Commercial,1
I need legal help because the business ignored my valid warranty request.,Commercial,1
The court reviewed a corporate case involving environmental damage from industrial activity.,Commercial,1
The partners are arguing over the distribution of business earnings.,Commercial,1
I believe the judgment was wrong and want to take further action.,General,2
The case was about proving that the marital bond had been dissolved.,Personal Status,0
Software development dispute — client breached contract terms.,Commercial,1
The supplier failed to deliver goods as stated in the distribution contract.,Commercial,1
The court investigated claims of brand imitation and unfair competition.,Commercial,1
The factory faced legal action for causing environmental damage near residential areas.,Commercial,1
I need legal advice to handle a worker who spent company funds improperly.,Commercial,1
I need legal approval to move my child to another school post-divorce.,Personal Status,0
I need legal advice about becoming the guardian of a minor.,Personal Status,0
The accountant was arrested on charges of financial crime and document forgery.,Commercial,1
I need a lawyer because my customer hasn’t settled the invoice despite many reminders.,Commercial,1
The man claimed that online posts caused serious reputation damage to him.,General,2
The case is about an unfair dismissal that violated the employment contract.,Commercial,1
I want legal advice about claiming my rights in my parent’s estate.,Personal Status,0
I’m seeking help to recover money lost in a fraudulent bank payment.,General,2
The court reviewed evidence showing a serious violation of privacy.,General,2
Partnership disagreement over profit distribution.,Commercial,1
Authorities opened an investigation into an assault incident at a park.,General,2
The creditor accepted partial repayment under a formal debt settlement.,Commercial,1
An employee claimed he was targeted with extortion inside the workplace.,Commercial,1
Both parties agreed to resolve the service dispute through arbitration.,Commercial,1
Unpaid freelance job — the client didn’t honor the payment agreement.,Commercial,1
A commercial complaint was filed after a company caused environmental safety hazards.,Commercial,1
What should I do if my personal data was used in online fraud?,General,2
The firm’s bankruptcy case involved millions in unpaid loans.,Commercial,1
The company was issued a fine for failing to meet safety standards.,Commercial,1
Profit-sharing dispute between business owners — seeking legal resolution.,Commercial,1
The healthcare business updated its policies due to repeated patient rights complaints.,Commercial,1
The company accused its partner of actions that caused financial loss.,Commercial,1
Someone uploaded my music online without giving me credit.,General,2
The supplier was charged with fraud for submitting falsified invoices.,Commercial,1
The patient filed a complaint after suffering injuries due to medical negligence.,General,2
The court handled a dispute involving product defects and consumer harm.,Commercial,1
I’m asking for approval to enroll my kid in a different school following our separation.,Personal Status,0
She sought official recognition of her child’s identity and parentage.,Personal Status,0
What should I do if someone is bullying me online?,General,2
The court handled a dispute about a forged marital certificate.,Personal Status,0
The police arrested a suspect involved in a street theft incident.,General,2
My contractor won’t finish the job until I pay extra.,Commercial,1
Custody dispute between the parents after separating,Personal Status,0
A rental issue started after the landlord increased the rent without notice.,General,2
The court granted the father limited access to his child.,Personal Status,0
I need to file a report for a cybercrime that happened to me.,General,2
A case was filed after financial losses caused by high business risk.,Commercial,1
Their separation was peaceful and based on mutual consent.,Personal Status,0
A commercial investigation was launched after reports of human rights abuse inside the firm.,Commercial,1
Divorce mediation — need advice on how to prepare and handle discussions.,Personal Status,0
The case involves a custody issue between parents.,Personal Status,0
The woman filed a case to prove the existence of her marriage.,Personal Status,0
I need help getting my money back after receiving the wrong product.,Commercial,1
I want to report my supervisor for repeated harassment.,General,2
I believe my landlord violated the lease by increasing the rent.,Commercial,1
The firm faced legal action due to repeated traffic violations by its employees.,Commercial,1
The mother filed a lawsuit to determine paternity through evidence.,Personal Status,0
The company faced legal action over intimidation in the workplace.,Commercial,1
Contract dispute between two companies over delayed shipment.,Commercial,1
Unauthorized image use — personal photos uploaded illegally.,General,2
I’m seeking legal advice about enforcing a supply agreement.,Commercial,1
The supplier failed to deliver the goods on the agreed date.,Commercial,1
I was fired from my job without a valid reason.,Commercial,1
I think my neighbor is putting up a wall on my land without permission.,General,2
The woman returned the dowry to finalize the divorce process.,Personal Status,0
I need legal help to prove my spouse is hiding assets from me.,Personal Status,0
Authorities reviewed documents related to the registration of family identity.,Personal Status,0
I want to create a will and need legal guidance.,Personal Status,0
